"","EUR.TWD"
"1",38.2138
"2",38.253
"3",38.2375
"4",37.9735
"5",37.8217
"6",37.7516
"7",37.8248
"8",37.8251
"9",37.7617
"10",37.6424
"11",37.499
"12",37.1885
"13",36.5961
"14",36.4097
"15",36.4102
"16",36.4934
"17",36.656
"18",36.5274
"19",36.3329
"20",35.3827
"21",35.0343
"22",35.0335
"23",35.146
"24",35.2305
"25",35.4164
"26",35.5722
"27",35.8413
"28",35.8526
"29",35.8521
"30",35.8894
"31",35.9466
"32",36.0238
"33",35.9095
"34",36.0122
"35",35.8726
"36",35.8721
"37",35.8228
"38",35.7596
"39",35.784
"40",35.8126
"41",35.8421
"42",35.7823
"43",35.7822
"44",35.8279
"45",35.9024
"46",36.0745
"47",36.1335
"48",36.1004
"49",36.1689
"50",36.1688
"51",36.0513
"52",35.9239
"53",35.7811
"54",35.5589
"55",35.2871
"56",35.2328
"57",35.2333
"58",35.2121
"59",35.13
"60",34.985
"61",34.8005
"62",34.537
"63",34.2969
"64",34.2965
"65",34.2652
"66",34.0899
"67",33.7001
"68",33.4857
"69",33.5095
"70",33.3566
"71",33.3566
"72",33.4199
"73",33.4761
"74",33.5348
"75",33.7178
"76",33.7397
"77",33.9483
"78",33.9483
"79",34.0605
"80",34.1841
"81",34.1925
"82",34.2304
"83",33.9279
"84",33.9166
"85",33.9166
"86",33.8763
"87",33.6723
"88",33.6237
"89",33.6461
"90",33.788
"91",33.9423
"92",33.9423
"93",33.8938
"94",33.6854
"95",33.5948
"96",33.4033
"97",33.1759
"98",33.1201
"99",33.1201
"100",33.121
"101",33.1347
"102",33.2099
"103",33.3225
"104",33.436
"105",33.4742
"106",33.4742
"107",33.3811
"108",33.3195
"109",33.331
"110",33.3652
"111",33.4188
"112",33.4041
"113",33.4041
"114",33.203
"115",33.2713
"116",33.587
"117",34.121
"118",34.4008
"119",34.4406
"120",34.4406
"121",34.3195
"122",34.2225
"123",34.4833
"124",34.7909
"125",34.5014
"126",34.388
"127",34.388
"128",34.332
"129",34.485
"130",34.5966
"131",34.7816
"132",34.7182
"133",34.7984
"134",34.7984
"135",34.6583
"136",34.1975
"137",33.927
"138",33.852
"139",33.7529
"140",33.5277
"141",33.5277
"142",33.4782
"143",33.3968
"144",33.3734
"145",33.4368
"146",33.6586
"147",33.7661
"148",33.7661
"149",33.6933
"150",33.9886
"151",34.4271
"152",34.8041
"153",34.6107
"154",34.5413
"155",34.5413
"156",34.7299
"157",35.1041
"158",34.9953
"159",34.8387
"160",34.7472
"161",34.8326
"162",34.8326
"163",34.7218
"164",34.7683
"165",34.7845
"166",34.9385
"167",34.816
"168",34.8156
"169",34.8156
"170",34.8517
"171",34.6087
"172",34.5503
"173",34.6321
"174",34.6161
"175",34.6329
"176",34.6329
"177",34.345
"178",34.5167
"179",34.3206
"180",34.2129
"181",34.2615
"182",34.3254
"183",34.3254
"184",34.1453
"185",34.1055
"186",34.2681
"187",34.3151
"188",34.4878
"189",34.6204
"190",34.6204
"191",34.3858
"192",34.1903
"193",34.1452
"194",33.9489
"195",33.8425
"196",33.732
"197",33.732
"198",33.8294
"199",33.9095
"200",34.0824
"201",34.275
"202",34.4826
"203",34.6499
"204",34.6185
"205",34.8549
"206",34.8173
"207",34.7374
"208",34.5508
"209",34.6906
"210",34.7992
"211",34.7992
"212",34.7331
"213",34.6347
"214",34.4663
"215",33.9802
"216",34.6113
"217",34.8371
"218",34.8371
"219",34.7223
"220",35.3718
"221",35.8017
"222",35.8427
"223",35.8302
"224",35.948
"225",35.948
"226",35.9291
"227",35.8909
"228",35.8965
"229",36.302
"230",36.8449
"231",37.4245
"232",37.4245
"233",37.7621
"234",37.489
"235",37.2186
"236",36.56
"237",36.4
"238",36.6475
"239",36.6475
"240",36.4708
"241",36.5682
"242",36.6156
"243",36.4059
"244",36.2968
"245",36.5709
"246",36.5056
"247",36.5341
"248",36.4769
"249",36.4063
"250",36.4152
"251",36.6947
"252",37.0585
"253",36.8156
"254",36.8421
"255",36.7377
"256",36.6763
"257",36.72
"258",36.8947
"259",36.7352
"260",36.8941
"261",36.7101
"262",36.6431
"263",36.6508
"264",37.1106
"265",36.9425
"266",37.2741
"267",37.2741
"268",37.0945
"269",37.2492
"270",36.9429
"271",36.6359
"272",36.8401
"273",36.669
"274",36.669
"275",36.6013
"276",36.662
"277",36.769
"278",36.7048
"279",36.6278
"280",36.6594
"281",36.6742
"282",36.7558
"283",36.9475
"284",37.0648
"285",36.8059
"286",36.7073
"287",36.8844
"288",36.687
"289",36.7158
"290",36.7214
"291",36.8212
"292",36.5472
"293",35.9071
"294",35.8152
"295",35.8014
"296",35.7364
"297",35.902
"298",35.8525
"299",35.6484
"300",35.8341
"301",35.6911
"302",35.6877
"303",35.8421
"304",35.683
"305",35.3627
"306",35.2506
"307",35.4689
"308",35.1534
"309",35.1274
"310",35.264
"311",35.1522
"312",35.126
"313",35.1767
"314",35.4322
"315",35.4375
"316",35.4362
"317",35.2186
"318",34.9637
"319",34.9107
"320",34.9074
"321",34.7841
"322",34.8366
"323",34.8386
"324",34.6641
"325",34.6723
"326",34.5623
"327",34.5165
"328",34.6301
"329",34.6168
"330",34.4796
"331",34.5854
"332",34.6161
"333",34.7357
"334",35.0139
"335",35.5803
"336",35.6791
"337",35.6803
"338",35.5698
"339",35.8825
"340",35.977
"341",36.0538
