"","GBP.TWD"
"1",48.8032
"2",48.9213
"3",48.7845
"4",48.4384
"5",48.3259
"6",48.329
"7",48.4195
"8",48.4187
"9",48.3547
"10",48.314
"11",48.3446
"12",48.2904
"13",47.8801
"14",47.6698
"15",47.6689
"16",47.6903
"17",47.8706
"18",47.7621
"19",47.5752
"20",47.0004
"21",46.8608
"22",46.8606
"23",47.0715
"24",47.1847
"25",47.3749
"26",47.603
"27",47.6867
"28",47.8601
"29",47.8598
"30",47.7183
"31",47.596
"32",47.7745
"33",48.0377
"34",48.2479
"35",48.3157
"36",48.3158
"37",48.1916
"38",48.131
"39",48.2699
"40",48.2801
"41",48.3615
"42",48.3633
"43",48.363
"44",48.3954
"45",48.4791
"46",48.7557
"47",48.945
"48",48.9673
"49",48.9455
"50",48.9459
"51",48.9088
"52",48.9761
"53",48.8178
"54",48.6993
"55",48.5653
"56",48.5764
"57",48.5763
"58",48.4398
"59",48.2734
"60",48.1565
"61",48.0112
"62",47.8153
"63",47.5657
"64",47.5649
"65",47.6255
"66",47.7258
"67",47.643
"68",47.2669
"69",46.9765
"70",46.8581
"71",46.8581
"72",46.8768
"73",46.7589
"74",46.5038
"75",46.6852
"76",46.6103
"77",46.9139
"78",46.9139
"79",46.8121
"80",46.6105
"81",46.4578
"82",46.4833
"83",46.3816
"84",46.3332
"85",46.3332
"86",46.3149
"87",46.2729
"88",46.315
"89",46.1075
"90",45.9946
"91",46.1427
"92",46.1427
"93",46.0532
"94",46.0259
"95",46.1428
"96",46.0744
"97",45.7912
"98",45.7094
"99",45.7094
"100",45.8029
"101",45.9603
"102",46.1449
"103",46.2928
"104",46.3889
"105",46.3498
"106",46.3498
"107",46.302
"108",46.3126
"109",46.5113
"110",46.6484
"111",46.5825
"112",46.6513
"113",46.6513
"114",46.3882
"115",46.5306
"116",46.841
"117",47.0978
"118",46.8201
"119",46.5645
"120",46.5645
"121",46.5125
"122",46.4878
"123",46.5988
"124",46.8117
"125",47.453
"126",47.3995
"127",47.3995
"128",47.6223
"129",48.0968
"130",48.1681
"131",48.162
"132",47.9837
"133",47.8022
"134",47.8022
"135",47.7425
"136",47.453
"137",47.3683
"138",47.5107
"139",47.4367
"140",47.1577
"141",47.1577
"142",47.1755
"143",47.1688
"144",47.1314
"145",46.9432
"146",46.9492
"147",46.9846
"148",46.9846
"149",46.9647
"150",47.0536
"151",47.1919
"152",47.3927
"153",47.3839
"154",47.4545
"155",47.4545
"156",47.5393
"157",47.7249
"158",47.8457
"159",47.8691
"160",47.9881
"161",48.1007
"162",48.1007
"163",48.053
"164",48.2078
"165",48.4709
"166",48.7391
"167",48.7096
"168",48.7068
"169",48.7068
"170",48.6284
"171",48.5549
"172",48.5892
"173",48.5835
"174",48.7107
"175",48.8096
"176",48.8096
"177",48.6566
"178",48.549
"179",48.4
"180",48.225
"181",48.1873
"182",48.0892
"183",48.0892
"184",48.1493
"185",48.116
"186",47.862
"187",47.746
"188",47.9054
"189",48.1595
"190",48.1595
"191",48.1495
"192",48.2435
"193",48.5735
"194",48.5923
"195",48.6112
"196",48.6012
"197",48.6012
"198",48.6427
"199",48.5541
"200",48.65
"201",48.7144
"202",48.7393
"203",48.9395
"204",48.8953
"205",49.0085
"206",49.0332
"207",49.1207
"208",49.2228
"209",49.3286
"210",49.4864
"211",49.4864
"212",49.4317
"213",49.329
"214",49.3759
"215",48.504
"216",49.082
"217",49.2169
"218",49.2169
"219",49.084
"220",49.9989
"221",50.2207
"222",50.2593
"223",50.2381
"224",50.6162
"225",50.6162
"226",50.634
"227",50.7333
"228",50.8743
"229",50.9899
"230",51.2155
"231",51.5801
"232",51.5801
"233",51.6199
"234",51.2817
"235",50.7693
"236",50.0343
"237",49.8688
"238",50.4316
"239",50.4316
"240",50.0642
"241",49.8313
"242",49.734
"243",49.7141
"244",49.6333
"245",49.7675
"246",49.6787
"247",49.8818
"248",50.0649
"249",50.095
"250",49.9398
"251",50.1458
"252",50.4311
"253",50.1004
"254",50.1887
"255",50.069
"256",50.1223
"257",50.3533
"258",50.4554
"259",50.4851
"260",50.7035
"261",50.5872
"262",50.7053
"263",50.3318
"264",50.4729
"265",50.2819
"266",50.5255
"267",50.5255
"268",50.3386
"269",50.2406
"270",49.913
"271",49.6542
"272",49.8623
"273",49.6413
"274",49.6413
"275",49.536
"276",49.6112
"277",49.9121
"278",49.9051
"279",49.6426
"280",49.4405
"281",49.4604
"282",49.5918
"283",49.6528
"284",49.8378
"285",49.799
"286",49.9092
"287",50.1775
"288",49.9089
"289",50.0306
"290",50.0748
"291",50.0865
"292",50.0439
"293",49.8191
"294",49.7859
"295",49.7668
"296",49.6742
"297",49.8125
"298",49.7109
"299",49.7528
"300",50.0193
"301",50.0319
"302",50.0272
"303",50.1902
"304",50.0444
"305",49.8951
"306",49.715
"307",49.5803
"308",49.5803
"309",49.2206
"310",49.4414
"311",49.5037
"312",49.6159
"313",49.7564
"314",50.0621
"315",50.128
"316",50.1235
"317",49.9601
"318",49.8354
"319",49.8626
"320",49.8259
"321",49.6302
"322",49.7111
"323",49.7136
"324",49.4481
"325",49.228
"326",49.0709
"327",49.1287
"328",49.2283
"329",49.1371
"330",48.9426
"331",49.1454
"332",49.2652
"333",49.2122
"334",49.0957
"335",49.3375
"336",49.545
"337",49.5455
"338",49.4621
"339",49.627
"340",49.5742
"341",49.8223
