"","GLD.Open","GLD.High","GLD.Low","GLD.Close","GLD.Volume","GLD.Adjusted"
"1",114.779999,116,114.730003,115.800003,8177400,115.800003
"2",116.220001,117.5,115.800003,117.120003,11238300,117.120003
"3",116.470001,116.879997,116.169998,116.43,6434200,116.43
"4",116.449997,116.870003,115.849998,115.940002,7033700,115.940002
"5",116.510002,117.339996,116.5,117.260002,7962900,117.260002
"6",117.459999,118.709999,117.32,118.559998,8318200,118.559998
"7",118.959999,119.190002,117.870003,118.160004,7693200,118.160004
"8",119.080002,119.32,117.900002,117.970001,7727400,117.970001
"9",120.410004,121.699997,120.339996,120.940002,17692500,120.940002
"10",121.730003,123.150002,121.709999,122.519997,14428200,122.519997
"11",123.629997,124.599998,123.489998,124.199997,14968600,124.199997
"12",125.18,125.339996,123.370003,124.230003,11082700,124.230003
"13",125.07,125.580002,124.150002,125.230003,10518400,125.230003
"14",124.43,124.5,123.349998,124.230003,6270900,124.230003
"15",123.330002,123.349998,122.519997,122.989998,6768600,122.989998
"16",123.559998,124.639999,123.510002,124.400002,9584800,124.400002
"17",123.519997,123.889999,122.940002,123.419998,8470600,123.419998
"18",121.989998,122.290001,120.260002,120.760002,11998000,120.760002
"19",121.300003,123.550003,120.919998,123.449997,14555900,123.449997
"20",121.839996,123.160004,121.82,122.419998,8885200,122.419998
"21",121.739998,121.760002,120.57,121.050003,8255900,121.050003
"22",121.629997,122.220001,120.919998,121.580002,5386700,121.580002
"23",120.980003,121.830002,120.610001,121.790001,6879900,121.790001
"24",119.150002,119.519997,117.949997,118.639999,12949800,118.639999
"25",118.830002,119.400002,118.769997,119.169998,5237200,119.169998
"26",118.629997,119.059998,118.209999,118.470001,4086300,118.470001
"27",118.489998,118.57,117,117.07,6784400,117.07
"28",117.68,117.82,117.089996,117.339996,4344400,117.339996
"29",118.050003,118.580002,117.790001,117.980003,4108900,117.980003
"30",116.400002,116.540001,115.580002,116.010002,7225200,116.010002
"31",115.989998,116.529999,114.989998,116.339996,8336000,116.339996
"32",116.400002,116.540001,115.739998,115.940002,6528700,115.940002
"33",116.099998,116.459999,115.050003,115.279999,6681700,115.279999
"34",115.110001,116.220001,115.07,115.43,4812400,115.43
"35",115,115.550003,114.290001,115.260002,7612900,115.260002
"36",115.830002,115.889999,115.330002,115.699997,5032500,115.699997
"37",116.540001,116.550003,115.830002,116.07,4025400,116.07
"38",116.739998,117.07,116.160004,116.160004,8255600,116.160004
"39",116.5,116.639999,115.620003,115.68,7993300,115.68
"40",116.040001,116.610001,115.349998,115.470001,4738300,115.470001
"41",115.699997,115.790001,115.019997,115.110001,4762400,115.110001
"42",115.43,116.120003,114.839996,115,5872200,115
"43",113.169998,113.260002,111.699997,111.860001,11190800,111.860001
"44",112.419998,112.620003,111.949997,111.970001,5534000,111.970001
"45",112.089996,112.349998,111.220001,111.419998,7019800,111.419998
"46",111.230003,111.25,110.160004,110.75,6550400,110.75
"47",111.150002,111.199997,110.25,110.720001,6631500,110.720001
"48",111.099998,111.279999,110.510002,110.879997,4557600,110.879997
"49",111.089996,111.209999,110.419998,110.809998,3265300,110.809998
"50",109.919998,111.349998,109.769997,110.209999,8923300,110.209999
"51",110.330002,112.870003,110.089996,112.370003,12448000,112.370003
"52",111.849998,112.580002,111.580002,112.290001,6537700,112.290001
"53",112.709999,114,112.669998,113.57,8033400,113.57
"54",113.699997,114.370003,113.489998,114.290001,4240300,114.290001
"55",114.349998,114.650002,113.82,114.57,2979300,114.57
"56",115.110001,115.139999,114.650002,114.730003,3021400,114.730003
"57",115.730003,115.839996,115.339996,115.480003,5495200,115.480003
"58",115.139999,115.360001,114.449997,115.059998,4921700,115.059998
"59",113.900002,114.010002,113.540001,113.75,4383900,113.75
"60",113.839996,114.279999,113.410004,113.660004,4383300,113.660004
"61",114.559998,115.989998,114.540001,115.599998,7324000,115.599998
"62",115.470001,115.720001,114.68,115.279999,3884100,115.279999
"63",117.32,117.470001,116.519997,116.690002,5914200,116.690002
"64",116.269997,116.510002,115.940002,116.110001,2468500,116.110001
