"","USD.TWD"
"1",31.8397
"2",32.0358
"3",32.0548
"4",32.0305
"5",32.0328
"6",31.9657
"7",31.9435
"8",31.9435
"9",31.9006
"10",31.8734
"11",31.8312
"12",31.7388
"13",31.5507
"14",31.4752
"15",31.4752
"16",31.4938
"17",31.6507
"18",31.5559
"19",31.4572
"20",31.3309
"21",31.262
"22",31.262
"23",31.3252
"24",31.1976
"25",31.2094
"26",31.4863
"27",31.6588
"28",31.7688
"29",31.7688
"30",31.6991
"31",31.5907
"32",31.4619
"33",31.5232
"34",31.529
"35",31.6977
"36",31.6977
"37",31.6294
"38",31.5932
"39",31.6348
"40",31.5709
"41",31.414
"42",31.4112
"43",31.4112
"44",31.4326
"45",31.5568
"46",31.6779
"47",31.7022
"48",31.7964
"49",31.7866
"50",31.7866
"51",31.7606
"52",31.7082
"53",31.5185
"54",31.4273
"55",31.4807
"56",31.4674
"57",31.4674
"58",31.4639
"59",31.4054
"60",31.415
"61",31.4917
"62",31.5037
"63",31.6285
"64",31.6285
"65",31.567
"66",31.6393
"67",31.6976
"68",31.6489
"69",31.6941
"70",31.7803
"71",31.7803
"72",31.708
"73",31.616
"74",31.5353
"75",31.4263
"76",31.4638
"77",31.3709
"78",31.3709
"79",31.3598
"80",31.2495
"81",31.2313
"82",31.2264
"83",31.2017
"84",31.1427
"85",31.1427
"86",31.2198
"87",31.2567
"88",31.2438
"89",31.0932
"90",30.9529
"91",30.9303
"92",30.9303
"93",30.8488
"94",30.9355
"95",31.0126
"96",31.1139
"97",31.2079
"98",31.2399
"99",31.2399
"100",31.3021
"101",31.2607
"102",31.2364
"103",31.1147
"104",31.0056
"105",30.9754
"106",30.9754
"107",30.9993
"108",31.0788
"109",31.0331
"110",31.043
"111",30.8317
"112",30.7167
"113",30.7167
"114",30.5586
"115",30.4772
"116",30.4528
"117",30.5807
"118",30.6537
"119",30.7575
"120",30.7575
"121",30.7301
"122",30.701
"123",30.633
"124",30.7356
"125",30.733
"126",30.6939
"127",30.6939
"128",30.7572
"129",30.7786
"130",30.691
"131",30.5548
"132",30.452
"133",30.3967
"134",30.3967
"135",30.4223
"136",30.4669
"137",30.5143
"138",30.4337
"139",30.4017
"140",30.4453
"141",30.4453
"142",30.4822
"143",30.5886
"144",30.6556
"145",30.6278
"146",30.687
"147",30.7219
"148",30.7219
"149",30.8047
"150",30.8454
"151",30.789
"152",30.861
"153",30.942
"154",31.0799
"155",31.0799
"156",31.1157
"157",31.1146
"158",30.962
"159",30.9024
"160",30.9151
"161",30.9102
"162",30.9102
"163",30.9076
"164",30.8772
"165",30.8773
"166",30.7168
"167",30.6859
"168",30.6756
"169",30.6756
"170",30.6685
"171",30.785
"172",30.8766
"173",30.9158
"174",30.948
"175",30.9963
"176",30.9963
"177",30.9541
"178",30.8691
"179",30.8983
"180",30.8995
"181",30.8757
"182",30.8854
"183",30.8854
"184",30.9198
"185",31.0069
"186",31.0742
"187",31.0461
"188",31.0064
"189",31.0351
"190",31.0351
"191",31.0296
"192",31.0545
"193",31.071
"194",31.1161
"195",31.1209
"196",31.1475
"197",31.1475
"198",31.2138
"199",31.2016
"200",31.1975
"201",31.256
"202",31.4368
"203",31.55
"204",31.5215
"205",31.5467
"206",31.4704
"207",31.4447
"208",31.5441
"209",31.6085
"210",31.679
"211",31.679
"212",31.6661
"213",31.6335
"214",31.6872
"215",31.1475
"216",31.6655
"217",31.7675
"218",31.7675
"219",31.6418
"220",32.093
"221",32.2088
"222",32.1895
"223",32.1567
"224",32.3575
"225",32.3575
"226",32.3927
"227",32.4589
"228",32.4711
"229",32.534
"230",32.6355
"231",32.8655
"232",32.8655
"233",32.8532
"234",32.5584
"235",32.5053
"236",32.3706
"237",32.3795
"238",32.7665
"239",32.7665
"240",32.5087
"241",32.4599
"242",32.5058
"243",32.54
"244",32.603
"245",32.802
"246",32.7434
"247",32.747
"248",32.6257
"249",32.5751
"250",32.4407
"251",32.4869
"252",32.6852
"253",32.4708
"254",32.5202
"255",32.509
"256",32.5285
"257",32.4364
"258",32.3707
"259",32.508
"260",32.6487
"261",32.5862
"262",32.8122
"263",32.8844
"264",33.0925
"265",33.0644
"266",33.2865
"267",33.2865
"268",33.1297
"269",33.1282
"270",32.9362
"271",32.803
"272",32.8815
"273",32.705
"274",32.705
"275",32.6164
"276",32.6844
"277",32.6698
"278",32.5776
"279",32.3478
"280",32.275
"281",32.288
"282",32.3243
"283",32.4865
"284",32.4687
"285",32.1782
"286",32.2848
"287",32.501
"288",32.327
"289",32.3655
"290",32.368
"291",32.4352
"292",32.4419
"293",32.398
"294",32.5075
"295",32.495
"296",32.3873
"297",32.4848
"298",32.4899
"299",32.5708
"300",32.5708
"301",32.428
"302",32.425
"303",32.5075
"304",32.4685
"305",32.3835
"306",32.431
"307",32.735
"308",32.735
"309",32.706
"310",32.7814
"311",32.7582
"312",32.7087
"313",32.7114
"314",32.895
"315",32.8985
"316",32.895
"317",32.85
"318",32.7905
"319",32.7771
"320",32.6227
"321",32.5238
"322",32.7248
"323",32.7265
"324",32.6246
"325",32.5814
"326",32.5056
"327",32.5151
"328",32.6664
"329",32.6792
"330",32.55
"331",32.6934
"332",32.6708
"333",32.7467
"334",32.7657
"335",32.6299
"336",32.79
"337",32.79
"338",32.7903
"339",33.035
"340",32.895
"341",32.8393
