,title,author,time,scraping_time,content_url,content,response,viewcount
538,連4降，央行降息半碼 逼近歷史低點,大昌秋如,2016-06-30_18:57,2016-08-13_17:03:51,http://www.moneydj.com/forum/showtopic-126986.aspx,"中央銀行今(30)日舉行第2季理監事會，經理事會一致決議，由於考量國內經濟不佳等因素，政策利率連續第4季調降半碼（0.125個百分點）。經調整後，代表政策利率的重貼現率降至1.375％，距離歷史低點、2009年時1.25%僅剩半碼差距；擔保放款融通利率來到1.75％，短期融通利率3.625%，自7月1日起開始實施。央行表示，由於全球經濟成長走緩，加上英國脫歐後續效應，增添全球貿易及景氣下行風險，影響國內經濟復甦步調，考量國內出口已經連續16個月負成長，央行理監事會認為調降政策利率有助經濟成長。(出處:中時財經投資自有風險,請投資人審慎評估)",0,199
539,無法拒絕Apple Pay的5大理由,胡雅惠,2016-05-12_08:06,2016-08-13_17:03:52,http://www.moneydj.com/forum/showtopic-124647.aspx,無法拒絕ApplePay的5大理由行動支付的愛用者，為何無法對ApplePay說不？國內4家銀行積極向ApplePay求親，根據銀行業者內部的分析，他們認為有五大理由。其一，iPhone是軟硬體整合的封閉系統，機種既少，生命週期也長，這使得信用卡組織在審核其行動支付時，時間會大為縮短，而且完全不需依SIM卡及電信公司的協助，就算換電信公司的系統商，也不必像TSM模式，不用再換SIM卡。其二，Apple所建立的passbook，早已經讓消費者用上癮，不只如此，已形成一個抽象的「大錢包」，使用者倘若以passbook作為大錢包儲存所有想用的信用卡資料，非常方便。其三，passbook的功能不僅是大錢包，還可一併收納折價券、兌換券、甚至是登機證或其他票證工具，以後在ApplePay結帳時，還可加入更多附加功能，如加入各商店的聯名信用卡、金融卡及相關的紅利積點、現金兌換等等，讓消費者在用虛擬卡支付時能無縫接軌，還可以累積各種紅利積點。其四，ApplePay所保留的只是信用卡的卡號以及有效截止月年，關於消費交易的資料，全部存雲端上以token的形式保存，這使得消費者的交易更加安全，也不會外洩其身份資料。其五，iPhone有touchID，將可和token的產出與發送結合，讓消費者在進行付款時更加的便利。金融業者指出，Apple運作至今，iTune及AppStore在全球已經有8億張信用卡帳號，現在ApplePay等於是進一步的讓這些原本已慣用在iTune及AppStore的帳號，再用token形式存放在手機上，這種界面的移轉非常方便，也會讓想使用行動支付的消費者，加速適應使用ApplePay，對於想開發行動支付市場的國內金融業者而言，ApplePay絕對是兵家必爭之地。(工商時報),1,279
540,跨境支付 通路戰開打,sdanny,2016-05-18_09:21,2016-08-13_17:03:55,http://www.moneydj.com/forum/showtopic-124975.aspx,台新銀行昨（17）日宣布與支付寶合作，加入跨境O2O支付行列，合作店家涵蓋九份、永康、天母、西門等知名商圈，百貨通路則有新光三越與微風，若加計台灣大車隊與街口APP合作店家，粗估適用通路多達2萬多個據點，期望「後發先至」的效果。<U+200B><U+200B>儘管陸客來台有退燒跡象，但台新金控個金執行長尚瑞強認為，陸客來台人數減少，應屬短期現象，長線仍看好陸客來台觀光所衍生的行動支付商機，台新銀將持續以國內第二大收單行，近十萬家特約店優勢，持續推廣跨境O2O支付服務。<U+200B>,1,245
541,台積電今年完全填息只花3天,大昌期貨*李佩怡,2016-06-30_16:36,2016-08-13_17:03:56,http://www.moneydj.com/forum/showtopic-126980.aspx,台積電今年完全填息只花3天2010年以來台積電填息行情表現英國脫歐後，風險意識漸增的國際資金積極轉買優質股（flighttoquality），台積電昨（29）日續漲2元收159元，只花3個交易日就順利完全填息，追平2011年紀錄，港商里昂證券點名台積電就是兼具「財務體質佳」、「自由現金流量（FCF）強」、「高現金收益率」代表股！相較於去年共花了154個交易日、橫跨到今年初才完成填息，台積電今年填息行情特別順利，美系外資券商主管認為，原因有下列幾項：一、股價在除息前1天因英國脫歐風暴大跌5元、降低填息難度；二、台股好標的有限、國際股市又不穩，台積電相對安全；三、下半年基本面相當明確。短期來說，被視為「金牛」的28奈米訂單轉強，讓台積電第二季與第三季產能利用率達到滿載，至於16奈米，則是在幾乎全拿蘋果A10AP訂單帶動下，下半年將會有突破性成長，預估第三季營收可望成長16％，推升今年每股獲利有機會挑戰12元。長期來說，台積電N7預估明年第一季即可進行認證，由於N7技術是N10的延伸，10奈米所使用設備可以轉至7奈米，意味著不需要投入太多資本支出在新設備，由於台積電技術學習曲線與成本結構較佳，未來在N7領域維持領導地位是可以預期的結果。http://www.chinatimes.com/newspapers/20160630000025-260202大昌期貨營業員部落格：http://blog.cnyes.com/My/pipi800601/article,0,238
542,2016/6/30盤後日報,sdanny,2016-06-30_16:17,2016-08-13_17:03:58,http://www.moneydj.com/forum/showtopic-126977.aspx,*小丹尼6/30盤後日報*恐慌情緒漸消化，台股挑戰起跌點！<ed><U+00A0><U+00BD><ed><U+00B4><U+00BA>加權指數:8666<ed><U+00A0><U+00BD><ed><U+00B4><U+00BA>漲跌:+80.02<ed><U+00A0><U+00BD><ed><U+00B4><U+00BA>成交量:919億<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>五大成交量:群創，友達，台積電，宏碁，昱晶<U+2764>花個2分鐘就可知道今天盤勢:https://youtu.be/nDSzaDZBQ74<ed><U+00A0><U+00BD><ed><U+00BA><U+00A9>盤勢<ed><U+00A0><U+00BD><ed><U+00B4><U+00B8>脫歐負面情緒逐漸消化。歐美股市帶動下，台股小幅開高，八大類股漲多跌少，在買盤加持下震盪走高。<ed><U+00A0><U+00BD><ed><U+00BA><U+00A9>今日觀盤重點類股1.電子:友達，研華，日月光，聯詠，瑞儀2.非電子:儒鴻，正新，豐泰，美利達，萬海資料來自群益投顧盤後日報加入LINE:@zwy9653a,0,243
543,面板火力旺，三大法人買超87.22億元!,大昌樹林~游燕玲,2016-06-30_15:22,2016-08-13_17:03:59,http://www.moneydj.com/forum/showtopic-126972.aspx,英國脫歐利空淡化，歐美主要股市隔夜續彈，台股今日依舊氣勢如虹，受到台積電(2330)填息後續創新高，面板雙虎友達(2409)、群創(3481)連飆2日，帶動指數再度攻上8600點，終場加權指數上漲80.02點為8666.58點，出現日K連四紅走勢，幾乎回補脫歐公投後跌幅，成交值放大至919.34億元。月線連二紅、上漲130.99點。今日外資買超100.3695億元，投信買超5.2078億元，自營商賣超18.3502億元，三大法人買超87.22億元。電子股方面，權值股台積電(2330)填息後續衝新高，大立光(3008)持續向3000元邁進，聯發科(2454)利多連發大漲2.73%，宏達電(2498)挾VR題材高檔整理；太陽能族群受惠蘋果可望在台興建資料中心與綠能電廠，昱晶(3514)、綠能(3519)、中美晶(5483)、國碩(2406)、新日光(3576)等熱力四射；面板廠下半年旺季將至、價格可望續漲，面板雙虎友達(2409)、群創(3481)連2日爆量大漲，華映(2475)更是拉出第5根漲停，成台股多頭先鋒。傳產股方面，生技月將於7月登場，生技股先暖場，康友-KY(6452)收復400元，五鼎(1733)、神隆(1789)、國光生(4142)、台耀(4746)齊步走揚；紡織雙雄儒鴻(1476)、聚陽(1477)聯袂勁彈，南緯(1467)亮燈漲停，帶動族群遠東新(1401)、宜進(14)、利勤(4426)攜手走揚。焦點股方面，宏達電(2498)挾VR題材連番飆漲，本周重回百元俱樂部，漲幅達2成之多，堪稱台股多頭指標。研華(2395)股東會通過配息6元，除息交易首日開盤立馬完成填息，走勢強勁。聯發科(2454)利多簇擁，包括加入中國移動5G聯合創新中心衝刺對岸市場、MT2503獲中移物聯網採用，今日帶量上攻2.7%登波段高峰。同致(3552)受到大陸車市庫存調整影響，初估第2季每股盈餘約3.51元到3.7元，第2季業績較第1季下滑，惟買盤全力相挺一度強攻漲停板，重回500元關卡。安勤(3479)股東會通過配發現金股利3.55元，今日進行除息交易，最高觸及72.6元，填息之路大步邁進。台灣大(3045)今日率先電信三雄進行除息交易，股價強勢走高2.7%，朝填息路邁進。外資今日買超100.3695億元，5日RSI為64.27，10日RSI為58.65，9日K值為61.62，9日D值為54.00，20日乖離率為0.83。歐美主要股市周三大漲，激勵日、韓、港與星等亞股紅光滿面，台股在台積電、中華電(2412)、聯發科、台灣大等領軍衝高，配合國泰金(2882)等金融股扮演穩盤要角，使盤勢開高震盪走高，連續收復月線、8600點關卡。分析師表示，今日常態量能明顯升溫，顯示法人看好後市，及大股東逢低回補股票意願轉趨濃厚，在政策面持續作多下，使短期持續向前波高檔8700點之上前進。類股操作上，汽車電子與汽車零組件供應鏈、受惠中國政策刺激推動經濟復甦的業績股，以及下半年具新產品舖貨效應與新規格受惠股之科技股有機會持續演出，可留意布局。https://tw.stock.yahoo.com,0,191
544,盤後》集團股擺尾 台股上漲80點登高8666,大昌佳臻,2016-06-30_15:01,2016-08-13_17:04:01,http://www.moneydj.com/forum/showtopic-126969.aspx,"2016年06月30日工商梅中和歐美主要股市周三多大漲，激勵亞股除大陸深滬兩市場表現不佳外，包括台股在內的日、韓、港與星等主要股市多紅光滿面。台股集中交易市場今在台積電、中華電、聯發科、台灣大等領軍電子股衝高，加上國泰金等金融保險族群扮演穩盤角色，使盤勢開高震盪走高，加權股價指數連續收復月線、8600點關卡，終場報8666.58點，上漲80.02點，漲幅0.93％，成交值也回溫至919.34億元。類股指數方面，除玻璃與電子之資服兩族群逆勢下挫外，餘塑膠、金融等悉數收紅，包括水泥、紡纖、生技、橡膠與電子之半導體、光電、通信及通路等類股，表現優於大盤。權值股方面，僅華航、台玻、台達電與華亞科等，表現疲軟；台積電、聯發科、台灣大、中華電、國泰金、富邦金、兆豐金、中信金、南亞科、日月光、台塑、台化、台泥、亞泥、遠東新、統一、長榮、聯電、廣達、仁寶、友達及群創等，力挺多方陣營。店頭市場方面，極短線雖有鋼鐵、營建與電子之半導體、資服等族群拉回，但生技、紡纖、電機、化學、航運、觀光與電子之電腦、網通、通路、光電及零組件等類股站在多方，使指數開高走高，收報128.3點，上漲0.54％，成交217.41億元。上市、櫃個股演出方面，終場計銘旺科、台龍兩支股票高掛跌停板；另有陽光能、中視、邑昇、恩得利與光麗-KY等8檔股票的單日跌幅逾4％。上漲股票計華義、晶彩科、華上、南緯、擎邦、旭品與太普高等17支強勢漲停板；另有友達、昱晶、儒鴻、鑽全、貿聯-KY、宏森、同致、旭源、基亞及鴻碩等56檔股票的單日漲幅逾4％。雙千金方面，股王大立光開高之後，始終屹立平之上，收漲0.86％，報2945元；股后漢微科則開高走平，收1315元平盤價。市場消息方面，台經院上午公布最新5月國內製造業景氣狀況，9.89分的信號值不僅較4月減少，跌回衰退的藍燈，且4月信號值也被重新修正再度跌回藍燈區，因此出現延續連14顆藍燈的紀錄。顯示台灣經濟研究院追蹤的製造業景氣，來到6月才發現，稍早預估的5月情勢開始或好轉，實際上僅是「一場空」。另外，據住展雜誌今最新統計，今年7、8兩個月的暑假檔期，北台灣預估會有逾1,659億元的新推案接力登場，其中還不乏總銷金額達百億以上的超大型指標案，為傳統購屋、推案旺季之「房市928檔期」作足暖身操。另方面，據傳美商蘋果（Apple）公司最近將到彰化看地，打算在當地興建資料中心與綠能電廠。為因應iTunes、AppleTV等日漸增加的網路流量，蘋果公司打算建立自己的資料處理中心。業內人士指出，法人搭配集團大股東季底作帳兼軋空手，使盤勢再度向8700點挺進，加上常態量能溫和回升，使短期持續向前波高檔8700點之上前進，仍審慎樂觀。據業內整理，法人單日買超前5名股票分別是友達(2409)、群創(3481)、台積電(2330)、中信金(2891)與台新金(2887)；單日賣超前5名股票分別係國泰金(2882)、宏達電(2498)、智邦(2345)、中壽(2823)及華邦電(2344)。(工商)",0,216
545,★夏普兩大事業再造 郭台銘督軍,康和期貨 李貞儀,2016-06-30_13:33,2016-08-13_17:04:03,http://www.moneydj.com/forum/showtopic-126957.aspx,鴻海將於7月1日完成所有法律程序，正式入主夏普。日本產經新聞報導，為了再造夏普，鴻海董事長郭台銘考慮直接統籌整頓夏普面板及太陽能電池等兩大重點事業，並且親上火線，擔任「頂級推銷員」。郭董親自督軍夏普面板及太陽能電池等兩大重點事業，業界高度關注。業界人士認為，在面板方面，郭董應會致力OLED等新技術研發，並與鴻海旗下群創共同攜手開創新局。太陽能電池方面，夏普過去曾是全球龍頭，近年不堪日本當地生產成本高，以及多晶矽原料崩跌的鉅額跌價壓力而沒落。鴻海擅於改善成本，郭董親自出馬統籌相關業務，有望帶領夏普重返榮耀。日本產經新聞指出，面板和太陽能電池事業是夏普陷入鉅額虧損的兩大錢坑，迫切需要根本性的重建對策，為了讓決策能迅速落實，郭台銘考慮親上火線。據了解，郭台銘7月將前往日本，並到已搬遷至土界市的夏普新總部，向幹部們宣布最新營運政策。業界人士觀察，入主夏普是郭台銘的個人意志，不僅面板和太陽能，整個夏普投資案，即使郭台銘本身未在夏普掛上任何職位，但絕對是背後最重要的主導者。夏普上周四（23）日在大阪舉行股東會，通過鴻海收購案等六項提案，其中包括鴻海副總裁戴正吳擔任夏普社長等董事人事案，鴻海取得對夏普公司營運主導權。為了搶吃蘋果，郭台銘上周在鴻海股東會中面對日媒提問時，透露夏普的OLED面板明年將開始量產出貨，對照5月時表示要三年才會準備好，外界解讀夏普的OLED開發進度超前。太陽能方面，先前外界多次傳出鴻海打算放棄夏普太陽能這個賠錢貨。戴正吳日前強調，經過過去兩個月的深入了解，夏普在太陽能電池技術方面領先，加上「清潔能源」是未來的大趨勢，他拍胸脯保證，夏普太陽能事業會繼續做下去。轉貼資料來源:https://tw.news.yahoo.com/夏普兩大事業再造-郭台銘督軍-192500172--finance.html聯合新聞網:http://udn.com/news/index,0,142
546,盤中分享!!  面板領漲 突破8600點~~,sdanny,2016-06-30_11:43,2016-08-13_17:04:05,http://www.moneydj.com/forum/showtopic-126952.aspx,【台股盤中】面板領漲突破8600點2016/06/3010:55中央社（中央社記者吳家豪台北2016年6月30日電）歐美主要股市反彈，台股今天買盤積極，其中光電類股早盤漲幅約2%，獲外資翻多的面板雙虎友達(2409)、群創(3481)連2天大漲，帶動大盤指數突破8600點大關。至10時50分左右，台股加權指數來到8641.22點，上漲54.66點，成交值新台幣454.29億元。類股部分，以光電類漲幅最大，約2%；電子漲0.68%，金融漲0.49%，水泥漲0.4%，食品跌0.11%。觀察盤面焦點，大型權值股台積電(2330)漲1.26%，報161元；大立光(3008)漲1.03%，報2950元；鴻海(2317)漲0.12%，報82.6元；聯發科(2454)漲1.47%，報241元；日月光(2311)漲0.14%，報35.75元；宏達電(2498)漲1.98%，報103元。外資看好面板未來12個月將趨於供需平衡，同步調高友達、群創投資評等至「優於大盤」，今天友達、群創股價延續漲勢，盤中漲幅逾6%、4%。中央銀行第2季理監事會議將於今天舉行，由於台灣今年經濟成長率（GDP）仍面臨「保1」挑戰，市場預期央行可望連4季降息。6.30.jpg(252.49K)2016/6/30上午11:42:43《台北股市》盤中焦點股：友達、昱晶、旭品、同亨、安成藥、璟德2016/06/3009:37時報資訊【時報-盤中焦點股】1.和大(1536)：奪7年20億元肥單，早盤漲逾2%。2.友達(2409)：面板漲勢擴大，營運看旺，早盤漲近4%。3.昱晶(3514)：美國電站啟用將挹注營運，早盤漲逾6.5%。4.宏齊(6168)：LED市況出谷底，外資連日小幅買超，早盤漲逾3%。5.宇瞻(8271)：DRAM價反彈，昨獲三大法人聯手買超，帶動今日股價續漲逾3%。6.豐泰(9910)：外資調節，投信進場接棒，推動股價突破盤整區間，大漲3.5%。7.百和(9938)：投信加碼買超，季底作帳升溫，股價底部揚升走揚1%，朝季線邁進。8.鳳凰(5706)：暑假起跑，股價甩開英國脫歐陰霾，一早跳上39.9元，漲幅超過1%。9.聯發科(2454)：加入中移動5G陣營、打入三星供應鏈題材發酵，股價一度漲近3%。10.旭品(3325)：媒體報導下半年水資源營收可望是上半年的3倍，股價最高觸頂。11.同亨(5490)：高現金殖利率題材加上今年成長不看淡，股價漲逾4%。12.海華(3694)：多頭點火，股價連兩日強勢反彈，早盤勁揚半根停板，躍上半年線。13.永昕(4726)：早盤多單進駐，跳空大漲6%。14.安成藥(4180)：今年有機會轉盈，明年將進入成長爆發期，買盤進場拉抬，早盤急漲逾4%，站回130元。15.璟德(3152)：搶攻國際大廠、傳出接獲思科等WiFi訂單，加上智慧型手機高頻元件需求增溫，法人對下半年營運持正向看法，昨日三大法人聯手買超346張，早盤勁揚3%。,0,225
547,東生華生物藥ENIA11解盲過關 拚年底取得藥證,期貨選擇權女王,2016-06-30_11:15,2016-08-13_17:04:06,http://www.moneydj.com/forum/showtopic-126947.aspx,"東生華總經理陳俊良宣布解盲過關。(鉅亨網記者楊伶雯攝)生技廠東生華(8432-TW)今(30)日上午在櫃買中心舉行解盲記者會，宣布所執行治療類風溼性關節炎生物藥ENIA11兩個第三期臨床試驗中第二個臨床試驗正式解盲，以類風溼性關節炎病患為對象進行第三期雙盲臨床試驗，數據顯示，用藥組與對照組相比，主要療效指標(Primaryendpoint)呈現統計上的顯著意義(P=0.0129)，總經理陳俊良指出，這個結果代表解盲過關，目標希望今年底取得藥證，將由東生華在台灣獨家銷售。東生華指出，ENIA11是國內自行開發的生物藥，為人類腫瘤壞死因子接受體的融合蛋白質，藉由競爭性的抑制腫瘤壞死因子與其接受器結合，達到抑制發炎的效果。總經理陳俊良表示，應台灣衛福部要求，ENIA11需進行兩個第三期臨床試驗，且ENIA11為台灣首次自行研發的生物藥，在臨床試驗設計上為獨立兩個試驗，所以需分次解盲。他說，兩個第三期臨床試驗分別在北部7家醫院、中南部8家醫院進行，目前在北部執行的第一個臨床試驗已在2016年3月30日解盲。中南部執行的臨床試驗在今日取得最終臨床研究報告(CSR,ClinicalStaudyReport)，結果顥示，該臨床試驗的主要療效指標(Pnmaryendpoint)呈現統計的顯著意義，次要療效指標(Secondaryendpoint)也一致顯示該治療上具統計上的顯著意義。據統計數據顯示，台灣區類風溼關節炎病人數約4萬人左右，依據IMSData，台灣區類風溼關節炎用藥市場規模約32億元；陳俊良表示，目前已向台灣衛生福利部申請藥品許可證，若ENIA11經台灣衛生福利部核准取得藥品許可證後，將成為由台灣藥廠自行開發的第一項生物藥，因此，該案也獲得經濟部技術處科專計畫補助；在取得台灣衛生福利部核發的上市藥證後，將由東生華在台灣獨家銷售，大陸地區則須取得中國國家食品藥品監督管理總局(CFDA)審查核准、核發大陸地區藥證後才能銷售。FROM:鉅亨http://news.cnyes.com/Content/20160630/20160630104423000065278.shtml?c=headline_sitehead",0,224
