"","title","author","time","scraping_time","content_url","content","response","viewcount"
"1","全民夯抓寶 概念股漲","大昌以琳","2016-08-08_17:34","2016-08-13_16:48:46","http://www.moneydj.com/forum/showtopic-129081.aspx","手機遊戲「精靈寶可夢Go」（PokemonGo）在台灣開放下載，引發全民瘋狂抓寶，激勵GPS、散熱、遊戲等概念股股價大漲，鼎天、環天科、長天今天早盤都攻上漲停，雙鴻盤中也攻上漲停，任天堂台灣代工廠旺宏也大漲5%。精靈寶可夢Go帶動相關概念股商機，包括伺服器、GPS、散熱、藍牙配件、電信業者、行動電源、遊戲等廠商，營運有望增溫。鼎天、環天科、長天今天早盤都攻上漲停，分別來到34.7元、21.1元、10.8元，成為盤面最強勢的族群之一。散熱廠商雙鴻盤中攻上漲停，來到106元，股價創下近11年來新高，超眾盤中也大漲逾5%，來到177元。IC設計股松翰盤中攻上漲停，來到39.45元。另一檔IC設計廠商瑞昱和電源供應器廠僑威盤中漲幅都超過4%。","0 "," 1041"
"2","台股盤後－熱錢爭搶寶可夢 大立光台積電領軍衝 甩尾上漲58點","康和期貨林瑋倫","2016-08-08_16:17","2016-08-13_16:48:47","http://www.moneydj.com/forum/showtopic-129073.aspx","鉅亨網記者李宜儒台北2016-08-0814:41美國股市大漲，加上寶可夢概念股吸金，台股早盤就跳空越過9100點大關，其中台積電衝上178元，大立光也一度突破3900元，不過中場漲幅收斂，所幸尾盤在電子權值股走揚，加上金融股也發威，終場上漲58.14點，以9150.26點作收，成交值823.53億元。櫃買市場則是受到群聯假帳風波衝擊，早盤雖然也一度突破133點，不過漲幅急速收斂，指數甚至翻黑，終場下跌0.35點，以132.11點作收，成交值255.62億元。台股今天類股呈現漲多於跌，其中以光電漲幅最高，超過2.5%，橡膠、其他電子、金融、通信網路等漲幅也超過1%，電子零組件、電器電纜、電腦設備、汽車、生醫、油電燃氣、半導體、建材營造、鋼鐵、塑膠、化學生醫也均收紅。至於下跌的類股則有玻陶跌幅逾1%，食品、電機機械、觀光、貿易百貨、紡纖、電子通路、造紙、航運、化學、資訊服務等也均收黑。PokemonGO(精靈寶可夢GO)概念股扮演台股多方指標，尤其上周六PokemonGO(精靈寶可夢GO)正式在台灣上架後，引發全台民眾瘋狂抓寶，也激勵GSP三雄包括長天、鼎天及環天科，盤中都攻上漲停。另外散熱模組廠超眾、雙鴻也演出比較效應，雙雙亮燈漲停；行動電源部分，全漢尾盤拉上漲停。二線廠業強、協禧也亮燈漲停。股王大立光也在多家外資券商聯袂調高目標價的激勵下，開盤跳空攻上3800元，盤中最高更超過3900元，不過隨即陷入高檔盤整。台積電開盤也創下178元的高點，幾經震盪後，仍以178元作收。遊戲族群也受惠於寶可夢概念股，包括辣椒及網龍也雙雙漲停。至於尾盤電子權值股及金融股也聯手拉抬指數，鴻海站上90元大關，富邦金、國泰金漲幅也超過2%，第一金、元大金、國票金、台新金、華南金等漲幅也超過1%。運達投顧分析師顏逸民表示，儘管美國就業數據不差，不過升息機率仍低，因此熱錢依然持續湧入台股，再加上寶可夢概念股，包括GPS、行動電源、鏡頭、散熱模組等也強勢上漲，是台股短期主要多方指標，在成交值沒有爆量之前，預期指數仍有攻高機會。","0 "," 88"
"3","股王飆 寶可夢熱 台股續攀一年多新高","大昌劉澤慧","2016-08-08_16:14","2016-08-13_16:48:49","http://www.moneydj.com/forum/showtopic-129070.aspx","台股今天盤中衝上9,153點，續創一年多來新高。楊萬雲/攝影美國7月就業數據強勁，激勵美股上周五大漲，那斯達克指數和標普500指數雙雙創下歷史新高，台股ADR跟進大漲，加上睽違17個月，台灣7月出口由負轉正，股王大立光（3008）一飛沖天，帶動台股盤中衝上9,153點，續創一年多來新高。上櫃記憶體股王群聯上周遭檢調搜查，疑爆發假帳風波，董事長潘健成交保後，昨日緊急重大訊息說明，強調所有的獲利資產都是真的，不過投資人仍用股票投下不信任票，今日一開盤就打落跌停板，衝擊櫃買指數走勢不如集中市場。台股今日盤面PokemonGO（寶可夢）題材發熱，手遊帶動手機與周邊電信等相關概念股齊聲勁揚，除手機鏡頭廠大立光飆漲帶頭衝下，手機周邊的美律（2439）也再度大漲逾7%，GPS「三天」環天科（3499）、長天（3431）、鼎天（3306）攜手漲停、行動電源全漢（3015）、散熱模組廠超眾（6230）及雙鴻（3324）也呈現大漲。同時遊戲熱潮帶動4G吃到飽，電信三雄上午也股漲反應。加上金融股跟進補漲，國泰金（2882）、富邦金（2881）、第一金（2892）跟進勁揚，紛紛大漲逾1%以上。電金聯手帶動大盤再創新，創下2015年7月中旬以來新高紀錄。美科技股與ADR昨天大漲，不過，盤面上包括最大權值股台積電（2330）翻小黑，面板龍頭友達（2409）盤中漲幅略見縮小，似見外資逢高部分獲利了結，宏達電（2498）與聯發科（2454）也都小黑，電子股走勢略見分歧，所幸跌幅不大；傳產方面跌多漲少，水泥、食品、塑化、紡纖、鋼鐵、生技都下跌，觀光航運百貨也都黑盤。台股盤中獲見獲利了結賣壓出籠，中場漲幅略見收斂。轉貼自:http://ppt.cc/7O5es","0 "," 116"
"4","禿鷹狙擊群聯 首日大賺800萬","胡雅惠","2016-08-08_16:11","2016-08-13_16:48:51","http://www.moneydj.com/forum/showtopic-129069.aspx","群聯電子因涉及做假帳遭檢調搜索，群聯董事長潘健成（左）在證券櫃買中心舉行記者會說明，他強調群聯電子每一分獲利都是真的，沒有做到虛盈實虧，他在說明過程中數度嘆氣，顯得相當無奈。記者余承翰/攝影群聯（8299）今日第一根跌停，融券放空者投入約7,200萬已有獲利800萬元進帳。但真正的贏家恐怕來自大買認售權證隱身其後的藏鏡人，總計投入約1,858萬元，第一天獲利已有720萬元，隨著群聯後續可能的跌勢，獲利可望翻倍。當市場焦點集中在上周五（5日）群聯融券暴增456張時，主管機關在周末已針對群聯認售權證的買盤展開調查。群聯在上周五盤中遭到兩波來自認售權證的狙擊，第一波約在11點至11點30分，第二波在12點45分至1點。群聯18檔認售權證中，有9檔遭到鎖定而成交超過千張，當天認售權證總成交金額約1,858萬元，以上周五的群聯認售權證成交量換算，權證券商要融券241張。但部分權證券商未完全避險，因此上周五群聯總融券增加456張中，可能有300張左右來自一般投資人的摜壓。300張的融券以每張27萬再繳9成保證金計算，投入金額約7,200萬元，今天跌停獲利約800萬元。","0 "," 111"
"5","8131 福懋科","快意","2016-08-08_15:46","2016-08-13_16:48:53","http://www.moneydj.com/forum/showtopic-129068.aspx","8131福懋科剛除完息的股票籌碼面:外資開始陸續買進基本面:2015EPS2.55技術面:日線處於低檔盤整想請教各位賢拜這支有肉吃嗎?","0 "," 88"
"6","8/8 盤後報~","sdanny","2016-08-08_15:40","2016-08-13_16:48:55","http://www.moneydj.com/forum/showtopic-129067.aspx","<ed><U+00A0><U+00BC><ed><U+00BE><U+00AF>盤後日報<U+2714>小丹尼有很多資訊都在小房子裡喔～記得去觀看。<ed><U+00A0><U+00BD><ed><U+00B4><U+00B8>美國就業數據強勁，支撐股市大舉收高。台股開盤站上9100大關，賣壓重使大盤回檔，金融類股表現價漲量增撐人氣，電子股後勢值得期待。<ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B4><U+00BC>台股：+58.14點，收9150.26點，成交量為824億。<ed><U+00A0><U+00BD><ed><U+00B4><U+00BC>台股高直利率及相對低的本益比的優勢仍在。<ed><U+00A0><U+00BD><ed><U+00B2><U+0088>強勢類股：1<U+FE0F><U+20E3>電子：原相3227，鈞豪5443，兆利35482<U+FE0F><U+20E3>非電子：和大1536，瑞智4532，國泰金2882，正新2105，統一實9907資訊來自：群益投顧盤後日報<ed><U+00A0><U+00BC><ed><U+00BE><U+0088>歡迎加入line@小丹尼投資團隊882.jpg(50.78K)2016/8/8下午04:26:00","0 "," 74"
"7","戰情中心即時訊息-上週原物料漲跌幅與走勢圖","台新小新","2016-08-08_14:12","2016-08-13_16:48:56","http://www.moneydj.com/forum/showtopic-129061.aspx","2016-08-08_140757.png(16.29K)2016/8/8下午04:58:192016-08-08_140813.png(20.84K)2016/8/8下午04:58:192016-08-08_140824.png(25.35K)2016/8/8下午04:58:192016-08-08_140840.png(27.63K)2016/8/8下午04:58:19資料來源：台新投顧台新證小新懂生活就懂投資，您證券投資的最佳夥伴！button.jpg(7.34K)2016/8/8下午04:58:19","0 "," 109"
"8","外資買金融股 棄民轉公","台新小新","2016-08-08_13:59","2016-08-13_16:48:58","http://www.moneydj.com/forum/showtopic-129059.aspx","公股獲利穩定，引發外資棄民轉公的罕見現象。根據證交所統計，今年來截至上周五，外資買超金融股前五名，全數由公股包辦；相較下，新光、玉山、中信、國泰、富邦等民營金控，反而成為外資賣超對象。外資今年來大舉買超第一金控40.45萬張，高居整體金融股之冠。第一金今年配發現金股利0.95元，以上周五收盤16.25元計算，現金股息殖利率5.8%，遠比定1年期存利率要高；外資買超第三多的兆豐金控，今年現金股利1.5元，換算股息殖利率也有5.9%。非屬金控的彰化銀行，則是以39.98萬張，拿下外資買超第二名，除了獲利亮眼受到青睞，截至上周五，外資已連續34個交易日買超彰銀，帶動彰銀外資持股比重從年初12%一路攀升至17%。法人指出，進一步觀察持有公股的外資股東，不乏來自歐美的退休基金，包括公務員退休基金、教師退休基金，以及礦業退休基金。行庫主管分析，公股金控之所以深受外資買盤追捧，原因不外乎台股具備本益低、高現金殖利率兩大特色。對退休基金而沿，背負投資收益壓力，在債券殖利率急墜、收益率下滑之際，自然將資金轉進高殖利率的台灣金融公股。台新投顧協理黃文清指出，和富邦金、國泰金相比，公股金控股價相對便宜，吸引外資調整投資組合。資料來源：經濟日報台新證小新懂生活就懂投資，您證券投資的最佳夥伴！button.jpg(7.34K)2016/8/8下午05:01:29","0 "," 90"
"9","十檔三面俱到 迎錢潮","廖維凌","2016-08-08_11:58","2016-08-13_16:49:00","http://www.moneydj.com/forum/showtopic-129044.aspx","台股上周五（5日）盤中再創高點，歐美股市也因美國非農就業數據表現亮眼而大漲，預期本周行情將再表態上揚。台股基本面、技術面及籌碼面三面俱到的個股，如彰銀（2801）等有機會順勢走揚。熱錢持續匯入台灣，資金搭著第3季為電子業的營運旺季、除權息行情等順風車的題材，推升指數上周五盤中來到9,101點波段高點。第一金投顧董事長陳奕光說，全球熱錢都是同一套，目前讓國際股市頻創新高的資金是從國際油價轉出的，只要國際油價未大舉反彈，熱錢依舊會在股市中流動。台股來到波段高點，選股難度更高，建議可從營運佳、法人站在買超、技術面強勢中挑選。篩選今年上半年營收年增正成長、第2季營收優於第1季、第1季獲利優於去年同期、技術面及籌碼面強勢、下半年展望強勁股，將獲市場青睞。依據條件選出彰銀、京元電、光寶科、力成、正新、智易、技嘉、致茂、國票金、聯強等十檔。元大投顧資深副總經理杜富蓉表示，台股從今年蔡英文總統上任以來加權指數已上漲千點，不過個股輪漲的多頭行情仍未破壞；台股在上漲的過程中，量能逐步消退，所幸上周五成交量已經站上5日均量，消除市場的疑慮，只要台股量價沒有失控，短線逢低介入業績股、題材股就能掌握獲利契機。統一投顧董事長黎方國說，選出的個股在金融、電子、傳產等均有，相關個股在產業中都是具有競爭力、產品具有利基的優勢，其有望搭著熱錢行情及追上大型權值股這段期間的上漲績效。圖／經濟日報提供http://fund.udn.com/fund/story/5854/1879488本文轉載自:http://fund.udn.com/fund/story/5854/1879488","0 "," 225"
"10","8/8 盤中分享~資金行情未歇，汽車零組件後市俏；股王沖天，台股續登高","sdanny","2016-08-08_11:22","2016-08-13_16:49:02","http://www.moneydj.com/forum/showtopic-129042.aspx","《台北股市》資金行情未歇，汽車零組件後市俏2016/08/0810:32時報資訊【時報記者任珮云台北報導】德國十年公債殖利率首度為負值，為歐元區首個十年期公債負利率的國家，此外，8月4日英國央行調降主要放款利率，由0.5%調降至0.25%，為逾7年來首度降息，並推出總額700億英鎊的購債計畫，推測美國聯準會(Fed)升息計畫將延緩，最快升息時點為12月。凱基台灣精五門基金經理人劉建生表示，由於全球股市現金殖利率仍遠高於十年期公債殖利率，預期保守資金轉往股市賺取高股息的動作，在Fed未升息下該趨勢將不易改變。回顧上週外資動向，台股持續吸金9.19億美元，累計今年以來外資買超金額已達125.48億美元。劉建生表示，外資雖轉趨保守但資金仍未見撤出，在寬鬆環境加持且台股仍有利多態勢下，短期指數回檔空間不大，中小型股表現持續活絡，上週外資淨多單也來到7萬口，未來外資態度仍是觀察重點，維持日均量衝到新台幣1200億元時須留意風險的看法不變。相對看好的產業方向包括：汽車零組件、修正過的蘋果概念股、工業電腦及封測等。劉建生表示，中國的汽車銷售在今年上半年增長8.1%，而美國今年來汽車銷量也持續上升，車市平均售價持續成長。中國「轎車購置稅減半」政策將於第四季結束，預期中國車商會把握時間推出相關促銷方案，可望帶動汽車銷售潮，故持續看好汽車相關零組件後市。《盤中解析》股王沖天，台股續登高2016/08/0810:55時報資訊【時報記者林資傑台北報導】美國7月就業數據亮眼，帶動美股上周五大漲，且台灣7月出口在連17黑後終於翻紅轉正，利多消息帶動台股資金行情持續，在電子及金融股攜手拉抬下，台股集中市場以9123.07點開出、上漲30.95點，最高上漲61.87點、觸及9153.99點，創下1年新高；店頭市場以132.55點開出、上漲0.09點。受惠於龍頭股大立光(3008)、台積電(2330)股價齊揚，台股今早價量俱揚，突破近3周8900～9100的橫盤整理格局，金融股漲幅高於電子股。雖然隨後漲勢震盪拉回，但中小型股亦各有表現，今日量能估約850億元左右。截至10點半，集中市場為9110.49點、上漲18.37點，店頭市場為132.33點、下跌0.13點。類股操作方面，魏永祥建議優先布局具利基題材及成長動能的績優股，看好今年業績齊佳的網通類股、明年獲利可望大幅改善的生技股、獲利成長性佳的電子零組件，以及文創、家電等利基型中概股。魏永祥指出，後市需留意4風險，包括：一、半導體庫存天數連三季增加，第四季恐進入庫存調整；二、資金行情簇擁致使台股走勢大幅背離基本面，追高風險增大。三、中國經濟復甦力道疲弱，將減緩全球消費成長動能；四、美國年底總統大選變數。881.jpg(253.09K)2016/8/8上午11:21:44《台北股市》盤中焦點股：大立光、耿鼎、長天、環天科、松翰2016/08/0809:46時報資訊【時報-盤中焦點股】1.大立光(3008)：看好iPhone7，3外資喊目標價上看4000元，早盤漲逾6%。2.光耀(3666)：吃車用大單，H2營運看俏，早盤漲近5%。3.耿鼎(1524)：AM市場穩定成長，外資轉站買方，早盤漲逾8%，站上波段高點。4.力達-KY(4552)：外資連日賣超，與投信對作，早盤多方占上風，漲逾4.5%。5.訊芯-KY(6451)：追價買盤續湧，股價衝4餘月來波段新高，達111.5元。6.長天(3431)：「精靈寶可夢（PokemonGo）」開放下載，全台瘋抓寶，GPS概念股燒燙燙，長天開盤跳空漲停鎖死，站回10元票面。7.環天科(3499)：全台瘋PokemonGO抓寶，GPS概念股環天科早盤急攻漲停，站上4個月新高。8.美律(2439)：7月營收續創新高，第3季EPS有機會挑戰1.95元，全年EPS可望調升至5.3元，早盤衝高大漲半根停板，站上逾1年新高價。9.松翰(5471)：「PokemonGo」題材發燒，股價攻頂。10.力致(3483)：外資上週五轉買超，今股價大漲逾8.5%。","0 "," 98"
