"","link","title","response","domestic","domestic2","foreign","foreign2"
"1","/movies/?id=indianajonesandthelastcrusade.htm","Indiana Jones and the Last Crusade","$474.2","$197.2","41.6%","$277.0","58.4%"
"2","/movies/?id=batman.htm","Batman","$411.3","$251.2","61.1%","$160.2","38.9%"
"3","/movies/?id=backtothefuture2.htm","Back to the Future Part II","$332.0","$118.5","35.7%","$213.5","64.3%"
"4","/movies/?id=lookwhostalking.htm","Look Who's Talking","$297.0","$140.1","47.2%","$156.9","52.8%"
"5","/movies/?id=deadpoetssociety.htm","Dead Poets Society","$235.9","$95.9","40.6%","$140.0","59.4%"
"6","/movies/?id=lethalweapon2.htm","Lethal Weapon 2","$227.9","$147.3","64.6%","$80.6","35.4%"
"7","/movies/?id=honeyishrunkthekids.htm","Honey, I Shrunk the Kids","$222.7","$130.7","58.7%","$92.0","41.3%"
"8","/movies/?id=ghostbusters2.htm","Ghostbusters II","$215.4","$112.5","52.2%","$102.9","47.8%"
"9","/movies/?id=littlemermaid.htm","The Little Mermaid","$184.2","$84.4","45.8%","$99.8","54.2%"
"10","/movies/?id=bornonthefourthofjuly.htm","Born on the Fourth of July","$161.0","$70.0","43.5%","$91.0","56.5%"
"11","/movies/?id=waroftheroses.htm","The War of the Roses","$160.2","$86.9","54.2%","$73.3","45.8%"
"12","/movies/?id=licensetokill.htm","Licence to Kill","$156.2","$34.7","22.2%","$121.5","77.8%"
"13","/movies/?id=drivingmissdaisy.htm","Driving Miss Daisy","$145.8","$106.6","73.1%","$39.2","26.9%"
"14","/movies/?id=blackrain.htm","Black Rain","$134.2","$46.2","34.4%","$88.0","65.6%"
"15","/movies/?id=parenthood.htm","Parenthood","$126.3","$100.0","79.2%","$26.3","20.8%"
"16","/movies/?id=seaoflove.htm","Sea of Love","$110.9","$58.6","52.8%","$52.3","47.2%"
"17","/movies/?id=steelmagnolias.htm","Steel Magnolias","$95.9","$83.8","87.3%","$12.1","12.7%"
"18","/movies/?id=abyss.htm","The Abyss","$89.8","$54.2","60.4%","$35.5","39.6%"
"19","/movies/?id=fieldofdreams.htm","Field of Dreams","$84.4","$64.4","76.3%","$20.0","23.7%"
"20","/movies/?id=unclebuck.htm","Uncle Buck","$79.3","$66.8","84.2%","$12.5","15.8%"
"21","/movies/?id=k-9.htm","K-9","$78.2","$43.2","55.3%","$35.0","44.7%"
"22","/movies/?id=always.htm","Always","$74.1","$43.9","59.2%","$30.3","40.8%"
"23","/movies/?id=burbs.htm","The 'Burbs","$49.1","$36.6","74.5%","$12.5","25.5%"
"24","/movies/?id=fletchlives.htm","Fletch Lives","$39.5","$35.2","89.1%","$4.3","10.9%"
"25","/movies/?id=fly2.htm","The Fly II","$38.9","$20.0","51.5%","$18.9","48.5%"
"26","/movies/?id=dotherightthing.htm","Do the Right Thing","$37.3","$27.5","73.9%","$9.8","26.1%"
"27","/movies/?id=dad.htm","Dad","$27.5","$22.1","80.4%","$5.4","19.6%"
"28","/movies/?id=sayanything.htm","Say Anything","$21.5","$20.8","96.6%","$734k","3.4%"
"29","/movies/?id=rogerandme.htm","Roger and Me","$7.7","$6.7","87.0%","$1.0","13.0%"
"30","/movies/?id=distantvoicesstilllives.htm","Distant Voices, Still Lives","$688k","$688k","100.0%","n/a","0.0%"
"31","/movies/?id=ghost.htm","Ghost","$505.7","$217.6","43.0%","$288.1","57.0%"
"32","/movies/?id=homealone.htm","Home Alone","$476.7","$285.8","59.9%","$190.9","40.1%"
"33","/movies/?id=prettywoman.htm","Pretty Woman","$463.4","$178.4","38.5%","$285.0","61.5%"
"34","/movies/?id=danceswithwolves.htm","Dances with Wolves","$424.2","$184.2","43.4%","$240.0","56.6%"
"35","/movies/?id=totalrecall.htm","Total Recall","$261.3","$119.4","45.7%","$141.9","54.3%"
"36","/movies/?id=backtothefuture3.htm","Back to the Future Part III","$244.5","$87.7","35.9%","$156.8","64.1%"
"37","/movies/?id=diehard2.htm","Die Hard 2: Die Harder","$240.0","$117.5","49.0%","$122.5","51.0%"
"38","/movies/?id=presumedinnocent.htm","Presumed Innocent","$221.3","$86.3","39.0%","$135.0","61.0%"
"39","/movies/?id=teenagemutantninjaturtles.htm","Teenage Mutant Ninja Turtles","$202.0","$135.3","67.0%","$66.7","33.0%"
"40","/movies/?id=kindergartencop.htm","Kindergarten Cop","$202.0","$91.5","45.3%","$110.5","54.7%"
"41","/movies/?id=huntforredoctober.htm","The Hunt for Red October","$200.5","$122.0","60.9%","$78.5","39.1%"
"42","/movies/?id=dicktracy.htm","Dick Tracy","$162.7","$103.7","63.7%","$59.0","36.3%"
"43","/movies/?id=daysofthunder.htm","Days of Thunder","$157.9","$82.7","52.3%","$75.3","47.7%"
"44","/movies/?id=another48hrs.htm","Another 48 HRS.","$153.5","$80.8","52.6%","$72.7","47.4%"
"45","/movies/?id=birdonawire.htm","Bird on a Wire","$138.7","$71.0","51.2%","$67.7","48.8%"
"46","/movies/?id=godfather3.htm","The Godfather Part III","$136.8","$66.7","48.7%","$70.1","51.3%"
"47","/movies/?id=rocky5.htm","Rocky V","$119.9","$40.9","34.1%","$79.0","65.9%"
"48","/movies/?id=edwardscissorhands.htm","Edward Scissorhands","$86.0","$56.4","65.5%","$29.7","34.5%"
"49","/movies/?id=problemchild.htm","Problem Child","$72.3","$53.5","74.0%","$18.8","26.0%"
"50","/movies/?id=markedfordeath.htm","Marked for Death","$58.0","$46.0","79.4%","$11.9","20.6%"
"51","/movies/?id=predator2.htm","Predator 2","$57.1","$30.7","53.7%","$26.5","46.3%"
"52","/movies/?id=darkman.htm","Darkman","$48.9","$33.9","69.3%","$15.0","30.7%"
"53","/movies/?id=pacificheights.htm","Pacific Heights","$44.9","$29.4","65.4%","$15.5","34.6%"
"54","/movies/?id=exorcist3.htm","The Exorcist III","$39.0","$26.1","66.9%","$12.9","33.1%"
"55","/movies/?id=childsplay2.htm","Child's Play 2","$35.8","$28.5","79.7%","$7.3","20.3%"
"56","/movies/?id=airamerica.htm","Air America","$33.5","$31.1","92.8%","$2.4","7.2%"
"57","/movies/?id=ghostdad.htm","Ghost Dad","$25.4","$24.7","97.2%","$714k","2.8%"
"58","/movies/?id=henryandjune.htm","Henry & June","$23.5","$11.6","49.3%","$11.9","50.7%"
"59","/movies/?id=nastygirl.htm","The Nasty Girl","$2.3","$2.3","100.0%","n/a","0.0%"
"60","/movies/?id=cestlavie.htm","C'est La Vie","$805k","$805k","100.0%","n/a","0.0%"
